Asset,Exchange,LastPrice,RSI_14,SMA_20,SMA_50,SMA_200,ATR%_W,MovingAveragesRating,OscillatorsRating,VolatilityRating,LastDate
HBARUSDT,OkxSpot,0.0581,43.301116,0.06064,0.064482,0.107722,0.304022,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
HCUSDT,OkxSpot,0.1083,37.966469,0.116205,0.12373,0.191178,0.356826,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
HDAOUSDT,OkxSpot,0.00437,43.89818,0.004549,0.005588,0.007515,0.853448,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
HEGICUSDT,OkxSpot,0.00773,44.009606,0.008276,0.008363,0.012846,0.529211,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
HYCUSDT,OkxSpot,0.000112,58.790689,0.000106,0.000109,0.000137,0.416515,UP_TREND,BULLISH,HIGH,30.09.2022
ICPUSDT,OkxSpot,6.15,47.055507,6.2035,6.5322,9.7088,0.348319,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
ICXUSDT,OkxSpot,0.2414,42.882384,0.2501,0.274836,0.44463,0.354382,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
ILVUSDT,OkxSpot,58.1,35.961604,61.385,77.256,259.29305,0.756529,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
IMXUSDT,OkxSpot,0.767,45.349527,0.77835,0.84312,1.19247,0.359076,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
INTUSDT,OkxSpot,0.003,44.449067,0.003058,0.003651,0.004184,0.47108,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
INXUSDT,OkxSpot,0.000335,44.583177,0.000342,0.000384,0.000461,0.50125,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
IOSTUSDT,OkxSpot,0.01191,42.295093,0.012272,0.01311,0.018394,0.325406,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
IOTAUSDT,OkxSpot,0.2906,52.796152,0.277495,0.289922,0.412187,0.250147,UP_TREND,BULLISH,MEDIUM,30.09.2022
IQUSDT,OkxSpot,0.00485,42.287879,0.005173,0.005347,0.006918,0.416297,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
JFIUSDT,OkxSpot,44.32,46.256506,44.11,50.2166,54.1888,0.416033,DOWN_TREND,BEARISH,HIGH,30.09.2022
JOEUSDT,OkxSpot,0.222,46.25055,0.22225,0.24966,0.515854,0.633189,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
JSTUSDT,OkxSpot,0.02524,44.077863,0.025668,0.027895,0.04156,0.344902,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
KANUSDT,OkxSpot,0.001174,46.578616,0.001173,0.001239,0.001443,0.126158,DOWN_TREND,BEARISH,MEDIUM,30.09.2022
KARUSDT,OkxSpot,0.302,28.358548,0.3386,0.41924,0.76938,0.532909,STRONG_DOWN_TREND,OVERSOLD,HIGH,30.09.2022
KCASHUSDT,OkxSpot,0.001228,61.826788,0.001083,0.001151,0.001401,0.317495,UP_TREND,BULLISH,HIGH,30.09.2022
KDAUSDT,OkxSpot,1.415,41.66397,1.4748,1.59976,2.854805,0.439144,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
KINEUSDT,OkxSpot,0.0675,40.292522,0.070975,0.08787,0.176376,0.539964,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
KISHUUSDT,OkxSpot,3.96e-10,42.985002,0.0,0.0,0.0,0.483429,STRONG_UP_TREND,BEARISH,HIGH,30.09.2022
KLAYUSDT,OkxSpot,0.1972,37.379109,0.20537,0.231346,0.4796,0.344507,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
KNCUSDT,OkxSpot,1.1888,32.112802,1.480525,1.646876,2.227709,0.496895,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
KOLUSDT,OkxSpot,0.00345,31.064733,0.004358,0.005684,0.015139,1.351122,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
KONOUSDT,OkxSpot,0.0258,44.552271,0.028445,0.02948,0.05629,0.909733,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
KP3RUSDT,OkxSpot,99.81,43.23258,100.7945,115.4548,203.1967,0.49389,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
KSMUSDT,OkxSpot,43.22,45.468625,43.5735,47.881,85.6687,0.392839,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
LAMBUSDT,OkxSpot,0.001721,54.032936,0.001668,0.001637,0.002287,0.304615,UP_TREND,BULLISH,HIGH,30.09.2022
LATUSDT,OkxSpot,0.00671,35.287601,0.007372,0.008667,0.022625,0.923963,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
LBAUSDT,OkxSpot,0.001272,43.810121,0.001345,0.001374,0.00169,0.398489,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
LDNUSDT,OkxSpot,0.1722,46.904378,0.17174,0.179734,0.213548,0.406254,DOWN_TREND,BEARISH,HIGH,30.09.2022
LDOUSDT,OkxSpot,1.6271,38.06005,1.75567,,,0.241998,,BEARISH,MEDIUM,30.09.2022
LEASHUSDT,OkxSpot,405.5,36.333737,469.155,522.262,655.603,0.422217,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
LEOUSDT,OkxSpot,4.676,50.98627,4.58845,4.9508,5.32914,0.130019,DOWN_TREND,BULLISH,MEDIUM,30.09.2022
LETUSDT,OkxSpot,0.00076,27.088513,0.000886,0.001063,0.001417,0.439769,STRONG_DOWN_TREND,OVERSOLD,HIGH,30.09.2022
LINGUSDT,OkxSpot,0.0094,34.584458,,,,0.25,,BEARISH,MEDIUM,30.09.2022
LINKUSDT,OkxSpot,7.819,54.368848,7.57685,7.44382,9.14432,0.219327,UP_TREND,BULLISH,MEDIUM,30.09.2022
LITHUSDT,OkxSpot,0.001135,35.175168,0.00128,0.001405,0.00242,0.576138,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
LONUSDT,OkxSpot,0.591,47.469767,0.59115,0.6165,0.7677,0.167868,STRONG_DOWN_TREND,BEARISH,MEDIUM,30.09.2022
LOOKSUSDT,OkxSpot,0.2016,37.362439,0.22407,0.264562,0.731688,1.143616,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
LOONUSDT,OkxSpot,0.00334,67.498732,0.002708,0.002829,0.003966,0.560458,UP_TREND,BULLISH,HIGH,30.09.2022
LPTUSDT,OkxSpot,9.12,44.804124,9.421,10.1684,14.662,0.368051,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
LRCUSDT,OkxSpot,0.3009,40.353716,0.3135,0.35598,0.552025,0.402396,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
LSKUSDT,OkxSpot,0.967,44.134261,0.98345,1.05988,1.406255,0.33793,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
LTCUSDT,OkxSpot,54.63,48.333853,55.2315,56.8746,72.90095,0.213,STRONG_DOWN_TREND,BEARISH,MEDIUM,30.09.2022
LUNAUSDT,OkxSpot,2.5083,47.802504,2.95899,2.429348,,0.668743,,BEARISH,HIGH,30.09.2022
LUNCUSDT,OkxSpot,0.00030179,52.935612,0.000292,0.000235,,0.333307,UP_TREND,BULLISH,HIGH,30.09.2022
MAGICUSDT,OkxSpot,0.347,39.398212,0.37655,0.51468,1.006372,0.972033,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
MANAUSDT,OkxSpot,0.7107,43.17798,0.723415,0.79974,1.252391,0.315371,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
MASKUSDT,OkxSpot,1.18,43.017885,1.22735,1.35334,2.366225,0.469493,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
MATICUSDT,OkxSpot,0.7887,49.536055,0.788235,0.830656,0.909545,0.240996,DOWN_TREND,BEARISH,MEDIUM,30.09.2022
MCOUSDT,OkxSpot,4.31,43.200646,4.4475,5.0602,6.37725,0.444478,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
MDAUSDT,OkxSpot,0.051,45.416907,0.05124,0.055862,0.185072,1.129988,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
MDTUSDT,OkxSpot,0.02587,49.658267,0.026049,0.026693,0.035948,0.367722,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
MENGOUSDT,OkxSpot,2.23924,,,,,0.334341,,,HIGH,30.09.2022
METISUSDT,OkxSpot,25.14,43.967105,25.2715,30.5586,47.49615,0.505327,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
MILOUSDT,OkxSpot,8.38e-09,34.954487,0.0,0.0,,1.08275,UP_TREND,BEARISH,HIGH,30.09.2022
MINAUSDT,OkxSpot,0.601,44.389112,0.60445,0.67452,1.19625,0.409162,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
MIRUSDT,OkxSpot,0.209,49.363373,0.2226,0.20316,0.577565,0.744373,DOWN_TREND,BEARISH,HIGH,30.09.2022
MITHUSDT,OkxSpot,0.02136,43.389181,0.021975,0.023477,0.025487,0.420219,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
MKRUSDT,OkxSpot,775.7,58.816768,689.21,775.162,1216.39,0.321582,UP_TREND,BULLISH,HIGH,30.09.2022
MLNUSDT,OkxSpot,19.6,35.023885,20.825,23.29,33.55205,0.440348,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
MOFUSDT,OkxSpot,0.0001164,26.630036,0.000149,0.000157,0.000534,0.939966,STRONG_DOWN_TREND,OVERSOLD,HIGH,30.09.2022
MONUSDT,OkxSpot,0.001724,56.916826,0.001659,0.001653,0.002494,0.464021,UP_TREND,BULLISH,HIGH,30.09.2022
MOVEZUSDT,OkxSpot,0.00606,65.331038,0.003723,0.004473,,0.910234,UP_TREND,BULLISH,HIGH,30.09.2022
MOVRUSDT,OkxSpot,10.64,38.356813,11.1655,12.5818,26.824,0.598715,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
MXCUSDT,OkxSpot,0.06956,55.700008,0.066701,0.068896,0.08248,0.198559,UP_TREND,BULLISH,MEDIUM,30.09.2022
MXTUSDT,OkxSpot,0.00119,45.573761,0.001199,0.001291,0.001551,0.40272,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
NASUSDT,OkxSpot,0.0381,47.322475,0.03841,0.04031,0.09913,0.633334,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
NEARUSDT,OkxSpot,3.627,39.365701,4.01055,4.3197,7.08435,0.47479,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
NEOUSDT,OkxSpot,8.884,49.859064,8.75735,9.4073,13.19826,0.277642,DOWN_TREND,BEARISH,MEDIUM,30.09.2022
NFTUSDT,OkxSpot,5.087e-07,36.394978,1e-06,1e-06,1e-06,0.253938,STRONG_DOWN_TREND,BEARISH,MEDIUM,30.09.2022
NMRUSDT,OkxSpot,15.08,36.625297,15.8105,17.2946,18.63875,0.359761,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
NULSUSDT,OkxSpot,0.2001,50.205215,0.19855,0.208196,0.272563,0.321043,DOWN_TREND,BULLISH,HIGH,30.09.2022
NYMUSDT,OkxSpot,0.2885,45.466268,0.291305,0.320294,,0.496895,DOWN_TREND,BEARISH,HIGH,30.09.2022
OKBUSDT,OkxSpot,16.316,57.402211,15.3945,16.58684,15.919325,0.164132,UP_TREND,BULLISH,MEDIUM,30.09.2022
OKTUSDT,OkxSpot,14.29,39.775609,15.069,16.6898,24.6473,0.344321,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
OMGUSDT,OkxSpot,1.745,46.86433,1.7571,1.87838,2.790955,0.298264,STRONG_DOWN_TREND,BEARISH,MEDIUM,30.09.2022
OMIUSDT,OkxSpot,0.001285,40.319653,0.001311,0.001382,0.001857,0.224519,STRONG_DOWN_TREND,BEARISH,MEDIUM,30.09.2022
OMUSDT,OkxSpot,0.0442,48.55697,0.043765,0.047776,0.059378,0.352997,DOWN_TREND,BEARISH,HIGH,30.09.2022
ONEUSDT,OkxSpot,0.02008,49.415296,0.01994,0.021761,0.054616,0.594312,DOWN_TREND,BEARISH,HIGH,30.09.2022
ONTUSDT,OkxSpot,0.2272,47.630102,0.227325,0.244372,0.331524,0.312334,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
OPUSDT,OkxSpot,0.9102,38.507151,1.020175,1.15407,,0.455557,DOWN_TREND,BEARISH,HIGH,30.09.2022
ORBSUSDT,OkxSpot,0.0384,56.836455,0.035855,0.038714,0.052007,1.343727,DOWN_TREND,BULLISH,HIGH,30.09.2022
ORBUSDT,OkxSpot,0.0582,41.536398,0.059545,0.064446,,0.555381,DOWN_TREND,BEARISH,HIGH,30.09.2022
ORSUSDT,OkxSpot,0.01038,50.592872,0.010591,0.009204,0.0058,0.316781,UP_TREND,BULLISH,HIGH,30.09.2022
OXTUSDT,OkxSpot,0.0994,42.417613,0.10231,0.107616,0.14982,0.327088,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
PAYUSDT,OkxSpot,0.01569,56.247587,0.014748,0.015301,0.0222,0.399699,UP_TREND,BULLISH,HIGH,30.09.2022
PCIUSDT,OkxSpot,0.281,32.865022,0.294825,0.314018,,0.339303,DOWN_TREND,BEARISH,HIGH,30.09.2022
PEOPLEUSDT,OkxSpot,0.02295,51.829929,0.021994,0.022837,0.032831,0.420774,UP_TREND,BULLISH,HIGH,30.09.2022
PERPUSDT,OkxSpot,0.617,48.541904,0.60165,0.70324,1.75566,0.672157,DOWN_TREND,BEARISH,HIGH,30.09.2022
PHAUSDT,OkxSpot,0.0915,41.508377,0.093475,0.102754,0.15499,0.327852,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
PICKLEUSDT,OkxSpot,1.472,53.328795,1.3656,1.51474,2.336185,0.685546,DOWN_TREND,BULLISH,HIGH,30.09.2022
PITUSDT,OkxSpot,5.64e-10,51.495423,0.0,0.0,,0.452426,UP_TREND,BULLISH,HIGH,30.09.2022
PLGUSDT,OkxSpot,0.000586,30.40216,0.000768,0.000794,0.000756,0.537611,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
PNKUSDT,OkxSpot,0.0328,69.582581,0.027845,0.028222,0.045039,0.2443,UP_TREND,BULLISH,MEDIUM,30.09.2022
POLSUSDT,OkxSpot,0.487,48.433712,0.48555,0.51692,0.783955,0.384602,DOWN_TREND,BEARISH,HIGH,30.09.2022
POLYDOGEUSDT,OkxSpot,3.95e-09,40.538952,0.0,0.0,0.0,0.540814,STRONG_UP_TREND,BEARISH,HIGH,30.09.2022
PORUSDT,OkxSpot,5.9233,,,,,0.177266,,,MEDIUM,30.09.2022
PPTUSDT,OkxSpot,0.0668,44.635158,0.06641,0.082254,0.158198,0.622185,DOWN_TREND,BEARISH,HIGH,30.09.2022
PRQUSDT,OkxSpot,0.1022,40.972934,0.11113,0.119316,0.166204,0.626275,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
PSTAKEUSDT,OkxSpot,0.1287,39.392064,0.15565,0.153014,0.308882,0.72709,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
PSTUSDT,OkxSpot,0.02039,90.305798,0.008474,0.008867,0.012105,0.237203,STRONG_UP_TREND,OVERBOUGHT,MEDIUM,30.09.2022
QOMUSDT,OkxSpot,3.72e-08,45.585874,0.0,0.0,,0.985667,UP_TREND,BEARISH,HIGH,30.09.2022
QTUMUSDT,OkxSpot,2.873,42.879452,2.9466,3.24604,4.35018,0.292397,STRONG_DOWN_TREND,BEARISH,MEDIUM,30.09.2022
RACAUSDT,OkxSpot,0.0002953,33.099866,0.00032,0.000365,0.000753,0.628969,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
RAYUSDT,OkxSpot,0.584,45.785228,0.58605,0.65982,1.339428,0.429059,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
RENUSDT,OkxSpot,0.1195,52.001283,0.114385,0.126154,0.197528,0.406836,DOWN_TREND,BULLISH,HIGH,30.09.2022
REPUSDT,OkxSpot,7.05,38.096039,7.334,7.8126,9.86485,0.321215,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
REVVUSDT,OkxSpot,0.01692,47.085765,0.017164,0.017723,0.039499,0.41793,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
RFUELUSDT,OkxSpot,0.00746,54.101691,0.007029,0.007965,0.013106,0.39267,DOWN_TREND,BULLISH,HIGH,30.09.2022
RIOUSDT,OkxSpot,0.0181,34.152843,0.02012,0.033986,0.086747,2.117813,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
RNTUSDT,OkxSpot,0.001655,57.864541,0.001576,0.001581,0.001737,0.40223,UP_TREND,BULLISH,HIGH,30.09.2022
ROADUSDT,OkxSpot,0.000702,54.819291,0.000682,0.000664,0.000659,0.569469,STRONG_UP_TREND,BULLISH,HIGH,30.09.2022
RONUSDT,OkxSpot,0.262,41.880033,0.2681,0.32374,0.714899,0.6214,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
RSRUSDT,OkxSpot,0.00814,63.873069,0.006727,0.006524,0.008553,0.305649,UP_TREND,BULLISH,HIGH,30.09.2022
RSS3USDT,OkxSpot,0.1261,47.125096,0.1312,0.125608,0.158231,0.24385,DOWN_TREND,BEARISH,MEDIUM,30.09.2022
RVNUSDT,OkxSpot,0.03587,43.504754,0.045221,0.03864,0.038126,0.314621,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
SAITAMAUSDT,OkxSpot,0.001497,45.419327,0.001493,0.001934,,0.463294,,BEARISH,HIGH,30.09.2022
SAMOUSDT,OkxSpot,0.00778,35.583055,0.008971,0.010605,0.011507,0.399334,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
SANDUSDT,OkxSpot,0.8565,43.066815,0.87632,0.979654,1.622066,0.378298,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
SCUSDT,OkxSpot,0.003541,40.144203,0.003661,0.004008,0.005996,0.326887,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
SDUSDT,OkxSpot,0.3563,44.787216,0.354825,0.412834,1.738424,1.456372,DOWN_TREND,BEARISH,HIGH,30.09.2022
SFGUSDT,OkxSpot,0.071,56.122931,0.066625,0.069956,0.080502,0.440115,UP_TREND,BULLISH,HIGH,30.09.2022
SHIBUSDT,OkxSpot,1.128e-05,46.391355,1.1e-05,1.2e-05,1.5e-05,0.284097,DOWN_TREND,BEARISH,MEDIUM,30.09.2022
SISUSDT,OkxSpot,0.1482,42.803541,0.17067,0.193318,0.482286,0.757551,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
SKEBUSDT,OkxSpot,0.0060029,37.390232,0.006514,,,0.263566,,BEARISH,MEDIUM,30.09.2022
SKLUSDT,OkxSpot,0.0397,42.349806,0.04047,0.048042,0.090464,0.641181,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
SLPUSDT,OkxSpot,0.00333,39.25756,0.003474,0.003947,0.007924,0.551041,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
SNTUSDT,OkxSpot,0.02843,45.337213,0.029806,0.030019,0.040526,0.325985,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
SNXUSDT,OkxSpot,2.414,42.481247,2.5219,2.8976,3.566535,0.421392,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
SOCUSDT,OkxSpot,0.010112,49.209565,0.01038,0.010304,0.007581,0.297189,DOWN_TREND,BEARISH,MEDIUM,30.09.2022
SOLUSDT,OkxSpot,34.98,54.855359,33.2465,34.6364,56.02894,0.335173,UP_TREND,BULLISH,HIGH,30.09.2022
SOSUSDT,OkxSpot,2.38e-07,42.748342,0.0,0.0,1e-06,0.690206,UP_TREND,BEARISH,HIGH,30.09.2022
SPELLUSDT,OkxSpot,0.001028,34.446959,0.001117,0.001304,0.001976,0.510318,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
SRMUSDT,OkxSpot,0.78,47.818483,0.7849,0.83146,1.371145,0.348568,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
STARLUSDT,OkxSpot,3.328e-06,40.54199,4e-06,4e-06,7e-06,0.485318,STRONG_DOWN_TREND,BEARISH,HIGH,30.09.2022
STCUSDT,OkxSpot,1.136,30.306351,1.24715,,,0.638805,,BEARISH,HIGH,30.09.2022
