ticker,exchange
ETHUSD,PhemexFutures
XRPUSD,PhemexFutures
LINKUSD,PhemexFutures
XTZUSD,PhemexFutures
LTCUSD,PhemexFutures
GOLDUSD,PhemexFutures
ADAUSD,PhemexFutures
BCHUSD,PhemexFutures
COMPUSD,PhemexFutures
YFIUSD,PhemexFutures
ALGOUSD,PhemexFutures
TRXUSD,PhemexFutures
EOSUSD,PhemexFutures
ONTUSD,PhemexFutures
NEOUSD,PhemexFutures
DOTUSD,PhemexFutures
UNIUSD,PhemexFutures
AAVEUSD,PhemexFutures
DOGEUSD,PhemexFutures
BATUSD,PhemexFutures
CHZUSD,PhemexFutures
MANAUSD,PhemexFutures
ENJUSD,PhemexFutures
SUSHIUSD,PhemexFutures
SNXUSD,PhemexFutures
GRTUSD,PhemexFutures
MKRUSD,PhemexFutures
ZECUSD,PhemexFutures
FILUSD,PhemexFutures
KSMUSD,PhemexFutures
XMRUSD,PhemexFutures
QTUMUSD,PhemexFutures
XLMUSD,PhemexFutures
ATOMUSD,PhemexFutures
SOLUSD,PhemexFutures
uBTCUSD,PhemexFutures
ZILUSD,PhemexFutures
GMTUSD,PhemexFutures
BNBUSD,PhemexFutures
AVAXUSD,PhemexFutures
u100VETUSD,PhemexFutures
WAVESUSD,PhemexFutures
u100000SHIBUSD,PhemexFutures
u100IOSTUSD,PhemexFutures
ETCUSD,PhemexFutures
SANDUSD,PhemexFutures
APEUSD,PhemexFutures
MATICUSD,PhemexFutures
GALAUSD,PhemexFutures
AXSUSD,PhemexFutures
NEARUSD,PhemexFutures
u100JASMYUSD,PhemexFutures
LRCUSD,PhemexFutures
THETAUSD,PhemexFutures
FTMUSD,PhemexFutures
SRMUSD,PhemexFutures
u100SLPUSD,PhemexFutures
DYDXUSD,PhemexFutures
CRVUSD,PhemexFutures
DASHUSD,PhemexFutures
ICPUSD,PhemexFutures
KLAYUSD,PhemexFutures
ONEUSD,PhemexFutures
ALICEUSD,PhemexFutures
u100PEOPLEUSD,PhemexFutures
SKLUSD,PhemexFutures
IMXUSD,PhemexFutures
KNCUSD,PhemexFutures
u1000000NFTUSD,PhemexFutures
RUNEUSD,PhemexFutures
ASTRUSD,PhemexFutures
EGLDUSD,PhemexFutures
GLMRUSD,PhemexFutures
FTTUSD,PhemexFutures
OMGUSD,PhemexFutures
DAOUSD,PhemexFutures
GALUSD,PhemexFutures
CELOUSD,PhemexFutures
KAVAUSD,PhemexFutures
FLOWUSD,PhemexFutures
OGNUSD,PhemexFutures
u1000HOTUSD,PhemexFutures
1INCHUSD,PhemexFutures
BALUSD,PhemexFutures
MINAUSD,PhemexFutures
BNXUSD,PhemexFutures
SXPUSD,PhemexFutures
BAKEUSD,PhemexFutures
CHRUSD,PhemexFutures
COTIUSD,PhemexFutures
ZRXUSD,PhemexFutures
WOOUSD,PhemexFutures
DODOUSD,PhemexFutures
C98USD,PhemexFutures
ENSUSD,PhemexFutures
RENUSD,PhemexFutures
MASKUSD,PhemexFutures
ARUSD,PhemexFutures
BITUSD,PhemexFutures
u100ANKRUSD,PhemexFutures
u100ARPAUSD,PhemexFutures
u100CELRUSD,PhemexFutures
u1000RSRUSD,PhemexFutures
u1000REEFUSD,PhemexFutures
u100RVNUSD,PhemexFutures
u1000DENTUSD,PhemexFutures
MOVRUSD,PhemexFutures
OCEANUSD,PhemexFutures
RAYUSD,PhemexFutures
AUDIOUSD,PhemexFutures
CVXUSD,PhemexFutures
ZENUSD,PhemexFutures
MTLUSD,PhemexFutures
LPTUSD,PhemexFutures
u100IOTXUSD,PhemexFutures
STORJUSD,PhemexFutures
CVCUSD,PhemexFutures
INJUSD,PhemexFutures
u100LINAUSD,PhemexFutures
TOMOUSD,PhemexFutures
u100XEMUSD,PhemexFutures
AGLDUSD,PhemexFutures
ILVUSD,PhemexFutures
YGGUSD,PhemexFutures
SFPUSD,PhemexFutures
GTCUSD,PhemexFutures
LITUSD,PhemexFutures
CTKUSD,PhemexFutures
API3USD,PhemexFutures
u100ACHUSD,PhemexFutures
OPUSD,PhemexFutures
u100ROSEUSD,PhemexFutures
u1000LEVERUSD,PhemexFutures
LDOUSD,PhemexFutures
FLMUSD,PhemexFutures
YFIIUSD,PhemexFutures
HNTUSD,PhemexFutures
ALPHAUSD,PhemexFutures
u1000SPELLUSD,PhemexFutures
STGUSD,PhemexFutures
FOOTBALLUSD,PhemexFutures
u1000LUNCUSD,PhemexFutures
PROSUSD,PhemexFutures
u100SWEATUSD,PhemexFutures
FLUXUSD,PhemexFutures
u100TRYBUSD,PhemexFutures
PAXGUSD,PhemexFutures
LUNA2USD,PhemexFutures
QNTUSD,PhemexFutures
APTUSD,PhemexFutures
GMXUSD,PhemexFutures
HFTUSD,PhemexFutures
BTCUSDT,BinanceSpot